autonomy_state,speed,timestamp,timestamp_offset,acceleration,distance
0,0.0,1487601758969714,0.0,0.0,0.0
0,0.0,1487601759222324,0.25261,0.0,0.0
0,0.0,1487601759486376,0.516662,0.0,0.0
0,0.0,1487601759776919,0.807205,0.0,0.0
0,0.0,1487601760019231,1.049517,0.0,0.0
0,0.0,1487601760281553,1.311839,0.0,0.0
0,0.0,1487601760547976,1.578262,0.0,0.0
0,0.0,1487601760809188,1.839474,0.0,0.0
0,0.0,1487601761074805,2.105091,0.0,0.0
0,0.0,1487601761345641,2.375927,0.0,0.0
0,0.0,1487601761591361,2.621647,0.0,0.0
0,0.0,1487601761855394,2.88568,0.0,0.0
0,0.0,1487601762131744,3.16203,0.0,0.0
0,0.0,1487601762397881,3.428167,0.0,0.0
0,0.0,1487601762662837,3.693123,0.0,0.0
0,0.0,1487601762930504,3.96079,0.0,0.0
0,0.0,1487601763182381,4.212667,0.0,0.0
0,0.0,1487601763431861,4.462147,0.0,0.0
0,0.0,1487601763696739,4.727025,0.0,0.0
0,0.0,1487601763966346,4.996632,0.0,0.0
0,0.0,1487601764232336,5.262622,0.0,0.0
0,0.0,1487601764502295,5.532581,0.0,0.0
0,0.0,1487601764748582,5.778868,0.0,0.0
0,0.0,1487601765013954,6.04424,0.0,0.0
0,0.0,1487601765286016,6.316302,0.0,0.0
0,0.0,1487601765549988,6.580274,0.0,0.0
0,0.0,1487601765808967,6.839253,0.0,0.0
0,0.0,1487601766072542,7.102828,0.0,0.0
0,0.0,1487601766319897,7.350183,0.0,0.0
0,0.0,1487601766582270,7.612556,0.0,0.0
0,0.0,1487601766831549,7.861835,0.0,0.0
0,0.0,1487601767121869,8.152155,0.0,0.0
0,0.0,1487601767414088,8.444374,0.0,0.0
0,0.0,1487601767659680,8.689966,0.0,0.0
0,0.0,1487601767931761,8.962047,0.0,0.0
0,0.0,1487601768196151,9.226437,0.0,0.0
0,0.0,1487601768435600,9.465886,0.0,0.0
0,0.0,1487601768731834,9.76212,0.0,0.0
0,0.0,1487601768984018,10.014304,0.0,0.0
0,0.0,1487601769248588,10.278874,0.0,0.0
0,0.0,1487601769519280,10.549566,0.0,0.0
0,0.0,1487601769782288,10.812574,0.0,0.0
0,0.0,1487601770033627,11.063913,0.0,0.0
0,0.0,1487601770324102,11.354388,0.0,0.0
0,0.0,1487601770571199,11.601485,0.0,0.0
0,0.0,1487601770831784,11.86207,0.0,0.0
0,0.0,1487601771111736,12.142022,0.0,0.0
0,0.0,1487601771382284,12.41257,0.0,0.0
0,0.0,1487601771632624,12.66291,0.0,0.0
0,0.0,1487601771894958,12.925244,0.0,0.0
0,0.0,1487601772141886,13.172172,0.0,0.0
0,0.0,1487601772403869,13.434155,0.0,0.0
0,0.0,1487601772681976,13.712262,0.0,0.0
0,0.0,1487601772931800,13.962086,0.0,0.0
0,0.0,1487601773209308,14.239594,0.0,0.0
0,0.0,1487601773480582,14.510868,0.0,0.0
0,0.0,1487601773730430,14.760716,0.0,0.0
0,0.0,1487601773988235,15.018521,0.0,0.0
0,0.0,1487601774254379,15.284665,0.0,0.0
